timestamp,amplitude
1774604997.27409,70
1774604997.2897916,67
1774604997.3058043,67
1774604997.32184,72
1774604997.338017,79
1774604997.3538744,80
1774604997.3698716,81
1774604997.38583,79
1774604997.4018276,77
1774604997.4177933,74
1774604997.4338174,77
1774604997.4499786,82
1774604997.4659812,86
1774604997.4819725,84
1774604997.498209,79
1774604997.5142176,78
1774604997.530307,73
1774604997.5459034,74
1774604997.5618136,75
1774604997.5778737,78
1774604997.5939622,76
1774604997.6099586,75
1774604997.625845,73
1774604997.6442142,68
1774604997.6579452,65
1774604997.673943,66
1774604997.6901476,69
1774604997.7062428,70
1774604997.7219307,72
1774604997.7379496,73
1774604997.7540538,72
1774604997.76985,73
1774604997.786133,74
1774604997.8018644,73
1774604997.8178606,75
1774604997.8338525,75
1774604997.84988,73
1774604997.8659222,72
1774604997.881909,74
1774604997.8982036,75
1774604997.9140708,76
1774604997.9303885,78
1774604997.945913,79
1774604997.961931,80
1774604997.9779909,78
1774604997.9938686,80
1774604998.0100856,76
1774604998.025974,76
1774604998.0419867,72
1774604998.0580308,73
1774604998.073892,73
1774604998.0899265,74
1774604998.1058936,74
1774604998.1218848,73
1774604998.1379368,72
1774604998.1538944,70
1774604998.1699145,66
1774604998.185941,66
1774604998.201893,66
1774604998.2179756,65
1774604998.2340195,65
1774604998.2500603,69
1774604998.2659073,67
1774604998.2819276,71
1774604998.2980266,71
1774604998.3138995,69
1774604998.330791,65
1774604998.346169,65
1774604998.3619468,64
1774604998.3780572,64
1774604998.3943112,67
1774604998.4100869,70
1774604998.4260185,71
1774604998.4421432,73
1774604998.4583387,71
1774604998.4741967,68
1774604998.4905276,64
1774604998.5059566,64
1774604998.5219438,60
1774604998.5379417,59
1774604998.5540707,58
1774604998.5699065,57
1774604998.5863903,56
1774604998.602091,55
1774604998.6179252,56
1774604998.6340172,56
1774604998.6499882,57
1774604998.6662369,55
1774604998.6819963,57
1774604998.6979666,57
1774604998.7139723,60
1774604998.7299242,61
1774604998.7459538,68
1774604998.7620595,67
1774604998.7786446,69
1774604998.7939417,71
1774604998.8102138,70
1774604998.8261468,67
1774604998.8419235,67
1774604998.8581557,65
1774604998.873971,63
1774604998.889994,64
1774604998.9061577,61
1774604998.921966,63
1774604998.9379532,62
1774604998.9540355,62
1774604998.970119,62
1774604998.9859893,63
1774604999.0019472,60
1774604999.0179472,59
1774604999.0341103,61
1774604999.0500615,61
1774604999.0661342,59
1774604999.082252,59
1774604999.09801,61
1774604999.1139688,59
1774604999.1304452,57
1774604999.1465447,59
1774604999.1619964,58
1774604999.177961,57
1774604999.193995,56
1774604999.209979,56
1774604999.2259645,57
1774604999.2425342,59
1774604999.2580967,58
1774604999.2741117,59
1774604999.2901254,61
1774604999.3060334,60
1774604999.322041,59
1774604999.3380346,59
1774604999.3540926,60
1774604999.3699903,63
1774604999.386003,63
1774604999.402199,65
1774604999.4179902,67
1774604999.4340014,65
1774604999.4501586,63
1774604999.4661329,63
1774604999.4819965,61
1774604999.4979916,60
1774604999.5139964,60
1774604999.5300045,60
1774604999.5464003,65
1774604999.5626013,71
1774604999.578073,78
1774604999.5941653,77
1774604999.6100876,78
1774604999.6261117,77
1774604999.642104,75
1774604999.6581852,71
1774604999.6744683,73
1774604999.6901333,70
1774604999.7060065,68
1774604999.7220113,66
1774604999.738007,62
1774604999.7540822,58
1774604999.7700367,58
1774604999.7859945,57
1774604999.802106,57
1774604999.818084,58
1774604999.8340175,61
1774604999.8500514,64
1774604999.8660328,63
1774604999.8820846,61
1774604999.8981555,61
1774604999.9154456,61
1774604999.9306092,57
1774604999.9462032,58
1774604999.9624827,61
1774604999.9783208,57
1774604999.994071,55
1774605000.0100362,53
1774605000.026465,52
1774605000.0421755,49
1774605000.058203,51
1774605000.0742126,51
1774605000.0900831,53
1774605000.1060445,56
1774605000.1232936,56
1774605000.1393635,56
1774605000.1540387,55
1774605000.1701791,55
1774605000.1860974,55
1774605000.2020977,62
1774605000.2181125,91
1774605000.2341316,143
1774605000.2501457,183
1774605000.2660983,219
1774605000.282142,266
1774605000.2980888,323
1774605000.314088,332
1774605000.330183,313
1774605000.346188,304
1774605000.362116,286
1774605000.3793983,268
1774605000.394233,272
1774605000.4104533,311
1774605000.4261618,330
1774605000.442172,335
1774605000.4581301,312
1774605000.474166,299
1774605000.4904282,303
1774605000.5064378,360
1774605000.522306,466
1774605000.538102,571
1774605000.5540886,681
1774605000.570192,775
1774605000.5861065,818
1774605000.602313,817
1774605000.6181564,805
1774605000.6341372,787
1774605000.6501682,797
1774605000.6662385,796
1774605000.6823192,736
1774605000.6981618,669
1774605000.7141354,605
1774605000.7301323,528
1774605000.7461343,530
1774605000.7625418,520
1774605000.7783363,514
1774605000.7941604,515
1774605000.8104842,504
1774605000.826234,443
1774605000.8428214,466
1774605000.8582127,516
1774605000.8744464,566
1774605000.8903549,637
1774605000.9064574,714
1774605000.922615,772
1774605000.9382124,811
1774605000.954376,873
1774605000.9702253,950
1774605000.986207,986
1774605001.0021858,1017
1774605001.0182457,1039
1774605001.0342884,923
1774605001.0502484,753
1774605001.0662842,596
1774605001.0822368,470
1774605001.098249,358
1774605001.1142082,357
1774605001.1302388,399
1774605001.1462135,441
1774605001.1622643,451
